Activity Type,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Date
Running,Lund Running,5.43,423,13:42:29,148,161,3.3,157,169,00:05:28,4:42,32,34,1.16,02:18.56,6,00:29:33,00:30:11,29,60,2023-10-21
Running,Lund Running,9.01,658,07:54:59,156,170,4.1,161,173,00:04:50,4:11,51,48,1.28,00:05.80,10,00:43:06,00:46:34,10,41,2023-10-17
Running,Lund Running,10.55,782,09:40:58,148,171,3.8,154,247,00:05:18,3:43,101,89,1.22,02:42.32,11,00:54:26,02:27:07,30,76,2023-10-14
Treadmill Running,Treadmill Running,2.68,186,18:37:04,148,161,2.6,150,218,00:04:57,2:28,--,--,1.34,04:48.86,2,00:12:04,00:13:22,--,--,2023-10-13
Running,Lund Running,4.74,338,18:56:58,156,174,3.5,159,169,00:04:39,4:03,21,17,1.35,03:24.63,5,00:21:57,00:23:40,27,42,2023-10-10
Running,Lund Running,7.15,530,19:20:25,154,175,4.0,159,167,00:04:51,4:06,51,43,1.3,00:40.91,8,00:34:31,00:35:28,37,77,2023-09-25
Running,Lund Running,5.51,397,18:37:26,160,177,3.8,161,173,00:04:38,4:06,29,25,1.34,02:12.46,6,00:25:17,00:26:27,24,42,2023-09-21
Running,Lund Running,5.43,409,19:36:07,145,173,3.7,157,166,00:05:01,4:27,20,16,1.27,02:02.67,6,00:27:05,00:27:34,24,42,2023-09-19
Running,Lund Running,5.57,410,20:27:56,150,165,3.4,157,167,00:05:11,4:35,21,18,1.23,02:56.93,6,00:28:49,00:29:15,25,43,2023-09-12
Running,Lund Running,5.12,368,18:05:33,148,167,3.4,156,167,00:05:05,4:21,35,22,1.26,00:38.58,6,00:25:37,00:33:41,27,56,2023-09-07
Running,Copenhagen Running,5.2,390,19:05:45,174,195,5.0,165,175,00:04:07,3:41,21,21,1.48,00:53.31,6,00:21:20,00:21:22,4,29,2023-08-30
