Reaction Date,Reaction Type,Parent Type,Parent ID
"Jun 29, 2021, 9:54:52 PM",Kudos,Activity,5550022294
"Jul 3, 2021, 9:04:35 PM",Kudos,Activity,5567096158
"Jul 4, 2021, 5:28:15 PM",Kudos,Activity,5574785959
"Jul 6, 2021, 9:51:38 PM",Kudos,Activity,5585716116
"Jul 8, 2021, 5:24:37 AM",Kudos,Activity,5589654918
"Jul 13, 2021, 7:38:19 PM",Kudos,Activity,5622352155
"Jul 17, 2021, 7:58:57 AM",Kudos,Activity,5636699631
"Jul 18, 2021, 12:10:57 PM",Kudos,Activity,5645891565
"Jul 18, 2021, 12:11:20 PM",Kudos,Activity,5642190440
"Aug 12, 2021, 4:38:40 PM",Kudos,Activity,5779636331
"Sep 9, 2021, 7:18:07 PM",Kudos,Activity,5931627794
"Sep 19, 2021, 7:32:06 AM",Kudos,Activity,5978749289
"Sep 20, 2021, 6:14:27 PM",Kudos,Activity,5989262692
"Sep 25, 2021, 10:54:53 PM",Kudos,Activity,6015683902
"Oct 17, 2021, 10:57:48 PM",Kudos,Activity,6125863730
"Jan 13, 2022, 8:32:48 PM",Kudos,Activity,6515994066
"Jan 14, 2022, 9:28:37 AM",Kudos,Activity,6518974216
"Jan 16, 2022, 11:01:47 AM",Kudos,Activity,6530744201
"Jan 16, 2022, 11:04:06 AM",Kudos,Activity,6531253329
"Jan 20, 2022, 8:40:21 PM",Kudos,Activity,6554944498
"Jan 20, 2022, 8:40:43 PM",Kudos,Activity,6552747470
"Jan 24, 2022, 12:31:39 AM",Kudos,Activity,6562580276
"Jan 27, 2022, 9:50:04 PM",Kudos,Activity,6588508613
"Jan 27, 2022, 9:50:40 PM",Kudos,Activity,6583647538
"Jan 31, 2022, 7:03:07 PM",Kudos,Activity,6603629881
"Feb 6, 2022, 12:06:07 PM",Kudos,Activity,6639007128
"Feb 6, 2022, 4:36:28 PM",Kudos,Activity,6631575771
"Feb 8, 2022, 8:54:11 PM",Kudos,Activity,6652457397
"Feb 11, 2022, 8:03:01 AM",Kudos,Activity,6663183722
"Feb 12, 2022, 3:25:28 PM",Kudos,Activity,6670375305
